nazev_mesta|pocet_obyvatel|latitude|longitude
Hrochův Týnec|NA|49.9594637|15.9105428
Hronov|NA|50.4799692|16.1820196
Hrotovice|NA|49.1076992|16.0606741
Hroznětín|NA|50.3093974|12.8718012
Hrušovany nad Jevišovkou|NA|48.8299011|16.4022403
Hrádek|NA|48.7731024|16.2717745
Hrádek nad Nisou|NA|50.8522229|14.8436667
Hulín|NA|49.3170041|17.4634978
Humpolec|NA|49.5418861|15.3586709
Husinec|NA|50.1737416|14.3750778
Hustopeče|NA|48.9399831|16.7369738
Ivanovice na Hané|NA|49.3054490|17.0936032
Ivančice|NA|49.1015881|16.3776051
Jablonec nad Jizerou|NA|50.7034400|15.4295952
Jablonec nad Nisou|NA|50.7240899|15.1710958
Jablonné nad Orlicí|NA|50.0296516|16.6001654
Jablonné v Podještědí|NA|50.7657554|14.7614324
Jablunkov|NA|49.5767408|18.7645761
Janov|NA|50.2104016|13.6398017
Janovice nad Úhlavou|NA|49.3452626|13.2175818
Janské Lázně|NA|50.6305685|15.7806938
Jaroměř|NA|50.3555139|15.9189129
Jaroměřice nad Rokytnou|NA|49.0943503|15.8932579
Javorník|NA|49.6864955|15.0265313
Jemnice|NA|49.0192524|15.5698865
Jesenice|NA|50.0984577|13.4717743
Jesenice|NA|50.0984577|13.4717743
Jeseník|NA|50.2296385|17.2046012
Jevišovice|NA|48.9874765|15.9896915
Jevíčko|NA|49.6324875|16.7118442
Jihlava|NA|49.3960640|15.5903065
Jilemnice|NA|50.6091761|15.5064747
Jindřichův Hradec|NA|49.1443265|15.0033540
Jirkov|NA|50.5000597|13.4476266
Jistebnice|NA|49.4855868|14.5277008
Jičín|NA|50.4370452|15.3516528
Jiříkov|NA|50.9951393|14.5690963
Jáchymov|NA|50.3629787|12.9299257
Jílové|NA|50.7610971|14.1041986
Jílové u Prahy|NA|49.8952972|14.4933502
Kadaň|NA|50.3761991|13.2710364
Kamenice nad Lipou|NA|49.3031180|15.0754914
Kamenický Šenov|NA|50.7735891|14.4728675
Kaplice|NA|48.7389045|14.4937180
Kardašova Řečice|NA|49.1847779|14.8531546
Karlovy Vary|NA|50.2306216|12.8701437
Karolinka|NA|49.3512769|18.2400622
Karviná|NA|49.8542719|18.5416556
Kasejovice|NA|49.4625179|13.7406640
Kaznějov|NA|49.8931303|13.3829479
Kašperské Hory|NA|49.1434723|13.5560577
Kdyně|NA|49.3910021|13.0392655
Kelč|NA|49.4786945|17.8154631
Kladno|NA|50.1466053|14.1026398
Kladruby|NA|49.7231666|14.9500494
Klatovy|NA|49.3951183|13.2935954
Klecany|NA|50.1756713|14.4117052
Klimkovice|NA|49.7884424|18.1254099
Klobouky u Brna|NA|48.9951795|16.8597347
Klášterec nad Ohří|NA|50.3843054|13.1710191
Kojetín|NA|49.3523028|17.3026301
Kolín|NA|50.0288894|15.2011571
Konice|NA|49.5905186|16.8894268
Kopidlno|NA|50.3308510|15.2702931
Kopřivnice|NA|49.5989130|18.1452134
Koryčany|NA|49.1087288|17.1645488
Kosmonosy|NA|50.4389828|14.9305091
Kostelec na Hané|NA|49.5139792|17.0582398
Kostelec nad Labem|NA|50.2265320|14.5855201
Kostelec nad Orlicí|NA|50.1228126|16.2121972
Kostelec nad Černými lesy|NA|49.9918984|14.8557555
Kouřim|NA|50.0034291|14.9769540
Košťany|NA|50.6550196|13.7546017
Kožlany|NA|49.9938908|13.5410653
Kralovice|NA|49.9821441|13.4867337
Kralupy nad Vltavou|NA|50.2415548|14.3106491
Kraslice|NA|50.3288071|12.5085759
Kravaře|NA|49.9321321|18.0044266
Krnov|NA|50.0898940|17.7040842
Kroměříž|NA|49.2984191|17.3929804
Krupka|NA|50.6847005|13.8577518
Kryry|NA|50.1743688|13.4265963
Králíky|NA|50.0843155|16.7603731
Králův Dvůr|NA|49.9475208|14.0395357
Krásno|NA|50.1091787|12.7863069
Krásná Hora nad Vltavou|NA|49.6046057|14.2774188
Krásná Lípa|NA|50.9145647|14.5062621
Krásné Údolí|NA|50.0724239|12.9210140
Kunovice|NA|49.0419231|17.4661940
Kunštát|NA|49.5072078|16.5184624
Kutná Hora|NA|49.9486561|15.2681123
Kuřim|NA|49.2987857|16.5313960
Kyjov|NA|49.0104456|17.1224867
Kynšperk nad Ohří|NA|50.1182943|12.5311070
Lanškroun|NA|49.9124356|16.6118541
Lanžhot|NA|48.7245476|16.9667035
Ledeč nad Sázavou|NA|49.6950166|15.2777763
Ledvice|NA|50.5850123|13.7720256
Letohrad|NA|50.0360932|16.4986002
Letovice|NA|49.5467115|16.5738843
Liberec|NA|50.7702648|15.0583947
Libochovice|NA|50.4060716|14.0422063
Libušín|NA|50.1681884|14.0545810
Libáň|NA|50.3750037|15.2162186
Libčice nad Vltavou|NA|50.1988879|14.3624086
Liběchov|NA|50.4078364|14.4467459
Lipnice nad Sázavou|NA|49.6130233|15.4135596
Lipník nad Bečvou|NA|49.5273114|17.5861035
Litomyšl|NA|49.8725491|16.3101243
Litoměřice|NA|50.5340795|14.1317985
Litovel|NA|49.7013305|17.0758784
Litvínov|NA|50.6009532|13.6110485
Lišov|NA|49.0158765|14.6083357
Loket|NA|49.6554898|15.1168908
Lom|NA|49.4104450|13.9889872
Lomnice nad Lužnicí|NA|49.0815285|14.7181416
Lomnice nad Popelkou|NA|50.5310646|15.3728809
Louny|NA|50.3572914|13.7969195
Loučná pod Klínovcem|NA|50.4188425|12.9814194
Lovosice|NA|50.5150033|14.0517563
Loštice|NA|49.7449432|16.9281353
Luby|NA|50.2524788|12.4059461
Luhačovice|NA|49.0997324|17.7577004
Lučany nad Nisou|NA|50.7413554|15.2204627
Luže|NA|49.8934114|16.0284252
Lysá nad Labem|NA|50.2016983|14.8327570
Lázně Bohdaneč|NA|50.0764166|15.6798078
Lázně Bělohrad|NA|50.4290274|15.5827632
Lázně Kynžvart|NA|50.0091635|12.6256333
Manětín|NA|49.9917390|13.2322454
Mariánské Lázně|NA|49.9739518|12.7033190
Mašťov|NA|50.2622740|13.2804584
Meziboří|NA|50.6203084|13.6071384
Meziměstí|NA|50.6257349|16.2395252
Mikulov|NA|48.8068577|16.6383914
Mikulášovice|NA|50.9652558|14.3636833
Miletín|NA|50.4040885|15.6822852
Milevsko|NA|49.4503023|14.3595152
Miličín|NA|49.5706890|14.6614051
Milovice|NA|50.2259601|14.8886322
Mimoň|NA|50.6589287|14.7244345
Miroslav|NA|48.9473112|16.3134526
Mirotice|NA|49.4290263|14.0368614
Mirovice|NA|49.5158050|14.0365862
Mirošov|NA|49.4653220|16.1560924
Mladá Boleslav|NA|50.4116187|14.9031301
Mladá Vožice|NA|49.5332102|14.8088688
Mnichovice|NA|49.9360307|14.7096851
Mnichovo Hradiště|NA|50.5229864|14.9741022
Mníšek pod Brdy|NA|49.8664138|14.2609488
Modřice|NA|49.1288791|16.6137074
Mohelnice|NA|49.7769472|16.9196183
Moravská Třebová|NA|49.7581546|16.6641472
Moravské Budějovice|NA|49.0525768|15.8092797
Moravský Beroun|NA|49.7939027|17.4427357
Moravský Krumlov|NA|49.0492698|16.3115273
Morkovice-Slížany|NA|49.2484586|17.2079269
Most|NA|50.5032737|13.6361120
Mýto|NA|49.7889973|13.7346533
Mělník|NA|50.3520785|14.4748281
Městec Králové|NA|50.2071808|15.2975813
Město Albrechtice|NA|50.1631183|17.5750385
Město Touškov|NA|49.7758295|13.2508593
Měčín|NA|49.4795472|13.4049175
Mšeno|NA|50.4381922|14.6326066
Nalžovské Hory|NA|49.3335778|13.5496097
Napajedla|NA|49.1715891|17.5113718
Nasavrky|NA|49.4519501|14.6405602
Nechanice|NA|50.2373686|15.6327598
Nejdek|NA|50.3247878|12.7332967
Nepomuk|NA|49.6427880|13.8372608
Neratovice|NA|50.2598479|14.5175086
Netolice|NA|49.0494308|14.1960193
Neveklov|NA|49.7535324|14.5334154
Nová Bystřice|NA|49.0193392|15.1029382
Nová Paka|NA|50.4947616|15.5149801
Nová Role|NA|50.2709162|12.7842174
Nová Včelnice|NA|49.2393496|15.0726025
Nové Hrady|NA|48.7896693|14.7783906
Nové Město na Moravě|NA|49.5616916|16.0744185
Nové Město nad Metují|NA|50.3442064|16.1512997
Nové Město pod Smrkem|NA|50.9254734|15.2299746
Nové Sedlo|NA|50.3396380|13.4748279
Nové Strašecí|NA|50.1532883|13.8998192
Nový Bor|NA|50.7578780|14.5554953
Nový Bydžov|NA|50.2417701|15.4907692
Nový Jičín|NA|49.5948810|18.0102584
Nový Knín|NA|49.7871435|14.2907781
Nymburk|NA|50.1852696|15.0414543
Náchod|NA|50.4167025|16.1622871
Náměšť nad Oslavou|NA|49.2073771|16.1577984
Nýrsko|NA|49.2936403|13.1434627
Nýřany|NA|49.7131491|13.2074889
Němčice nad Hanou|NA|49.3420839|17.2056673
Odolena Voda|NA|50.2334117|14.4107808
Odry|NA|49.6622193|17.8303013
Olešnice|NA|49.5577012|16.4223306
Olomouc|NA|49.5940567|17.2511430
Oloví|NA|50.2513968|12.5586985
Opava|NA|49.9389004|17.9024174
Opočno|NA|50.2676907|16.1145157
Orlová|NA|49.8459427|18.4309274
Osek|NA|49.8196370|13.8585193
Osečná|NA|50.6945660|14.9210158
Oslavany|NA|49.1236142|16.3364832
Ostrava|NA|49.8349139|18.2820084
Ostrov|NA|49.6111687|14.0146436
Otrokovice|NA|49.2088284|17.5353865
Pacov|NA|49.4707194|15.0036121
Pardubice|NA|50.0385812|15.7791356
Paskov|NA|49.7317867|18.2903689
Pec pod Sněžkou|NA|50.6935744|15.7335607
Pelhřimov|NA|49.4308737|15.2232341
Petřvald|NA|49.8310682|18.3898338
Pečky|NA|50.0898509|15.0291945
Pilníkov|NA|50.5328029|15.8199431
Planá|NA|48.9435942|14.4527645
Planá nad Lužnicí|NA|49.3510522|14.7047195
Plasy|NA|49.9341107|13.3889549
Plesná|NA|50.2208012|12.3466609
Plumlov|NA|49.4661434|17.0148581
Plzeň|NA|49.7477415|13.3775249
Plánice|NA|49.3899269|13.4710601
Poběžovice|NA|49.5106977|12.8028363
Podbořany|NA|50.2292216|13.4113590
Podivín|NA|48.8282341|16.8501418
Poděbrady|NA|50.1430072|15.1191453
Pohořelice|NA|48.9816868|16.5242181
Police nad Metují|NA|50.5368703|16.2335044
Polička|NA|49.7149137|16.2653869
Polná|NA|49.4873383|15.7188513
Postoloprty|NA|50.3600554|13.7028467
Potštát|NA|49.6371952|17.6516964
Počátky|NA|49.2602542|15.2404051
Prachatice|NA|49.0129091|13.9977720
Proseč|NA|49.6007022|15.3290819
Prostějov|NA|49.4721467|17.1117979
Protivín|NA|49.2000186|14.2159645
Pyšely|NA|49.8767807|14.6770252
Písek|NA|49.3089887|14.1477690
Přebuz|NA|50.3657774|12.6200389
Přelouč|NA|50.0394360|15.5606989
Přerov|NA|49.4553775|17.4508621
Přeštice|NA|49.5726096|13.3295697
Přibyslav|NA|49.5768385|15.7385463
Přimda|NA|49.6745658|12.6763239
Příbor|NA|49.6401091|18.1438062
Příbram|NA|49.6901444|14.0103663
Rabí|NA|49.2809304|13.6188949
Radnice|NA|49.8571241|13.6062750
Rajhrad|NA|49.0890629|16.6030548
Rakovník|NA|50.1041136|13.7310462
Ralsko|NA|50.5857728|14.8040625
Raspenava|NA|50.9041544|15.1146468
Rejštejn|NA|49.1405310|13.5151685
Rokycany|NA|49.7428813|13.5947780
Rokytnice nad Jizerou|NA|50.7272292|15.4638743
Rokytnice v Orlických horách|NA|50.1647335|16.4656749
Ronov nad Doubravou|NA|49.8881855|15.5315320
Rosice|NA|49.1825874|16.3878251
Rotava|NA|50.3058704|12.5610769
Roudnice nad Labem|NA|50.4244462|14.2603824
Rousínov|NA|49.2015498|16.8821032
Rovensko pod Troskami|NA|50.5351143|15.2598248
Roztoky|NA|50.1608299|14.3824148
Rožmberk nad Vltavou|NA|48.6547364|14.3666491
Rožmitál pod Třemšínem|NA|49.6021760|13.8639580
Rožnov pod Radhoštěm|NA|49.4587958|18.1429843
Rožďalovice|NA|50.3034933|15.1699546
Rtyně v Podkrkonoší|NA|50.5055320|16.0711662
Rudná|NA|50.0337771|14.2312404
Rudolfov|NA|48.9936055|14.5411628
Rumburk|NA|50.9517739|14.5569317
Rychnov nad Kněžnou|NA|50.1632537|16.2748393
Rychnov u Jablonce nad Nisou|NA|50.6837901|15.1497890
Rychvald|NA|49.8663296|18.3763920
Rájec-Jestřebí|NA|49.4091450|16.6270226
Rýmařov|NA|49.9320352|17.2714574
Sadská|NA|50.1361194|14.9859741
Sedlec-Prčice|NA|49.5726082|14.5326911
Sedlice|NA|49.6216028|13.8807821
Sedlčany|NA|49.6582258|14.4254935
Semily|NA|50.6022490|15.3352600
Sezemice|NA|50.5855488|15.0050906
Sezimovo Ústí|NA|49.3854272|14.6843674
Seč|NA|49.8473534|15.6571108
Skalná|NA|50.1702336|12.3610476
Skuteč|NA|49.8434267|15.9961932
Slaný|NA|50.2306933|14.0868501
Slatiňany|NA|49.9212452|15.8132542
Slavičín|NA|49.0889594|17.8748080
Slavkov u Brna|NA|49.1535759|16.8763606
Slavonice|NA|48.9975333|15.3515379
Slušovice|NA|49.2479338|17.8012424
Smečno|NA|50.1884375|14.0403651
Smiřice|NA|50.2995707|15.8645911
Smržovka|NA|50.7384678|15.2463402
Sobotka|NA|50.4676307|15.1765887
Soběslav|NA|49.2594070|14.7193304
Sokolov|NA|50.1809097|12.6394986
Solnice|NA|50.2030082|16.2383273
Spálené Poříčí|NA|49.6144658|13.6043136
Staré Město|NA|50.0842845|14.4178391
Staré Město|NA|50.0842845|14.4178391
Starý Plzenec|NA|49.6978507|13.4735561
Staňkov|NA|48.9795234|14.9526982
Stochov|NA|50.1481264|13.9629115
Stod|NA|49.6390886|13.1647362
Strakonice|NA|49.2612770|13.9025043
Strmilov|NA|49.1591510|15.2014514
Stráž nad Nežárkou|NA|49.0697105|14.9055137
Stráž pod Ralskem|NA|50.7029923|14.8009646
Strážnice|NA|48.9018932|17.3144340
Strážov|NA|49.3034789|13.2483379
Studénka|NA|49.7137494|18.0610845
Stárkov|NA|50.5339240|16.1581733
Stříbro|NA|49.7530168|13.0049136
Suchdol nad Lužnicí|NA|48.8880893|14.8746872
Sušice|NA|49.2313907|13.5204076
Svitavy|NA|49.7562053|16.4688995
Svoboda nad Úpou|NA|50.6262304|15.8164318
Svratka|NA|49.7111798|16.0315815
Světlá nad Sázavou|NA|49.6680082|15.4039340
Sázava|NA|49.8717573|14.8967120
Tachov|NA|49.7955449|12.6329861
Tanvald|NA|50.7379882|15.3038421
Telč|NA|49.1847652|15.4524773
Teplice|NA|50.6406644|13.8244461
Teplice nad Metují|NA|50.5939134|16.1707745
Teplá|NA|49.9820739|12.8632960
Terezín|NA|50.5107160|14.1497170
Tišnov|NA|49.3488380|16.4244906
Toužim|NA|50.0607602|12.9849922
Tovačov|NA|49.4305415|17.2880579
Trhové Sviny|NA|48.8425812|14.6391858
Trhový Štěpánov|NA|49.7116864|15.0135299
Trmice|NA|50.6428488|13.9942622
Trutnov|NA|50.5608165|15.9128970
Turnov|NA|50.5874068|15.1574182
Tábor|NA|49.4141533|14.6587234
Týn nad Vltavou|NA|49.2234214|14.4211240
Týnec nad Labem|NA|50.0418987|15.3580835
Týnec nad Sázavou|NA|49.8334756|14.5899539
Týniště nad Orlicí|NA|50.1513634|16.0776973
Třebechovice pod Orebem|NA|50.2007842|15.9930870
Třebenice|NA|49.1629373|16.0161696
Třeboň|NA|49.0040317|14.7714476
Třebíč|NA|49.2151907|15.8816091
Třemošnice|NA|49.8693093|15.5803962
Třemošná|NA|49.8167442|13.3951971
Třešť|NA|49.2911919|15.4830063
Třinec|NA|49.6779212|18.6711993
Uherské Hradiště|NA|49.0681018|17.4663899
Uherský Brod|NA|49.0253139|17.6464437
Uherský Ostroh|NA|48.9855580|17.3898443
Uhlířské Janovice|NA|49.8807582|15.0644920
Unhošť|NA|50.0849900|14.1318613
Uničov|NA|49.7711837|17.1213944
Valašské Klobouky|NA|49.1409048|18.0075634
Valašské Meziříčí|NA|49.4716056|17.9715930
Valtice|NA|48.7412949|16.7557580
Vamberk|NA|50.1179339|16.2903737
Varnsdorf|NA|50.9124244|14.6194058
Vejprty|NA|50.4923155|13.0321201
Velešín|NA|48.8292557|14.4635063
Velká Bystřice|NA|49.5947568|17.3654414
Velká Bíteš|NA|49.2883646|16.2271255
Velké Bílovice|NA|48.8493878|16.8920520
Velké Hamry|NA|50.7143764|15.3150838
Velké Meziříčí|NA|49.3554996|16.0121507
Velké Opatovice|NA|49.6126397|16.6794242
Velké Pavlovice|NA|48.9044074|16.8164581
Velký Šenov|NA|50.9907708|14.3780786
Veltrusy|NA|50.2710734|14.3277379
Velvary|NA|50.2819312|14.2361619
Verneřice|NA|50.6611409|14.3011435
Veselí nad Lužnicí|NA|49.1866657|14.6989455
Veselí nad Moravou|NA|48.9540796|17.3790340
Veverská Bítýška|NA|49.2700225|16.4283061
Vidnava|NA|50.3724340|17.1861229
Vimperk|NA|49.0526997|13.7741980
Vizovice|NA|49.2231391|17.8545076
Vlachovo Březí|NA|49.0817729|13.9588404
Vlašim|NA|49.7065924|14.8987513
Vodňany|NA|49.1478708|14.1754647
Volary|NA|48.9095977|13.8883971
Volyně|NA|49.1664511|13.8867227
Votice|NA|49.6403939|14.6380296
Vracov|NA|48.9738808|17.2120968
Vratimov|NA|49.7697532|18.3102044
Vrbno pod Pradědem|NA|50.1209513|17.3831569
Vrchlabí|NA|50.6271452|15.6095779
Vroutek|NA|50.1806231|13.3804345
Vsetín|NA|49.3389775|17.9961534
Vysoké Mýto|NA|49.9534727|16.1616455
Vysoké Veselí|NA|50.3306772|15.4356592
Vysoké nad Jizerou|NA|50.6857713|15.4014639
Vyškov|NA|49.2778194|16.9994446
Vyšší Brod|NA|48.6154234|14.3120378
Vítkov|NA|49.7758144|17.7517864
Výsluní|NA|50.4664819|13.2373954
Větřní|NA|48.7742466|14.2861607
Všeruby|NA|49.8417849|13.2291760
Zbiroh|NA|49.8592406|13.7711465
Zbýšov|NA|49.1552431|16.3495114
Zdice|NA|49.9119542|13.9779864
Zlaté Hory|NA|50.2637622|17.3953643
Zliv|NA|49.0663495|14.3660772
Zlín|NA|49.2267660|17.6667415
Znojmo|NA|48.8554341|16.0489457
Zruč nad Sázavou|NA|49.7402960|15.1060740
Zubří|NA|49.5711085|16.1236867
Zábřeh|NA|49.8829089|16.8725044
Zákupy|NA|50.6844952|14.6454503
Zásmuky|NA|49.9544644|15.0302421
Újezd u Brna|NA|49.1043477|16.7573682
Úpice|NA|50.5125314|16.0154279
Úsov|NA|49.7983079|17.0105488
Ústí nad Labem|NA|50.6603327|14.0381357
Ústí nad Orlicí|NA|49.9737603|16.3941695
Úterý|NA|49.9399942|13.0038338
Úvaly|NA|50.0740135|14.7305192
Úštěk|NA|50.5847441|14.3433242
Čelákovice|NA|50.1607829|14.7500022
Černovice|NA|49.3725903|14.9599829
Černošice|NA|49.9569988|14.3193081
Černošín|NA|49.8162537|12.8838251
Červená Řečice|NA|49.5116159|15.1792161
Červený Kostelec|NA|50.4765050|16.0926214
Česká Kamenice|NA|50.7994117|14.4165592
Česká Lípa|NA|50.6865452|14.5372974
Česká Skalice|NA|50.3945544|16.0436385
Česká Třebová|NA|49.9021593|16.4472039
České Budějovice|NA|48.9747357|14.4742850
České Velenice|NA|48.7685057|14.9636772
Český Brod|NA|50.0740536|14.8606115
Český Dub|NA|50.6607076|14.9957954
Český Krumlov|NA|48.8106526|14.3150586
Český Těšín|NA|49.7464018|18.6260976
Čáslav|NA|49.9109171|15.3913205
Řevnice|NA|49.9143330|14.2361169
Říčany|NA|49.9919444|14.6542365
Šenov|NA|49.7931698|18.3756285
Šlapanice|NA|49.1688974|16.7272687
Šluknov|NA|51.0032170|14.4530321
Špindlerův Mlýn|NA|50.7256448|15.6067567
Šternberk|NA|49.7307120|17.2988474
Štramberk|NA|49.5912330|18.1170378
Štíty|NA|49.9612234|16.7657581
Štěpánov|NA|49.6849637|17.2168930
Štětí|NA|50.4529016|14.3747194
Šumperk|NA|49.9655521|16.9705651
Švihov|NA|50.1098283|13.5642886
Žacléř|NA|50.6586423|15.9078109
Žamberk|NA|50.0871434|16.4650893
Žandov|NA|50.7137234|14.3962214
Žatec|NA|50.3274423|13.5459520
Ždánice|NA|49.5474600|16.2620860
Ždírec nad Doubravou|NA|49.6959567|15.8136021
Žebrák|NA|49.8757493|13.8966867
Železnice|NA|50.4730968|15.3847325
Železná Ruda|NA|49.1374249|13.2350287
Železný Brod|NA|50.6430652|15.2539851
Židlochovice|NA|49.0379775|16.6171639
Žirovnice|NA|49.2531813|15.1882380
Žlutice|NA|50.0919193|13.1629708
Žulová|NA|50.3092956|17.0982234
Žďár nad Sázavou|NA|49.5629014|15.9391924
